x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.077999999999999886e-06,4.040019448699690496e+18,5.742794403072752640e+18,7.134938840826060800e+18,7.306286513974724608e+18
1.084999999999999988e-06,4.059370254738806272e+18,5.772201442444853248e+18,7.172657921146087424e+18,7.345029196876201984e+18
1.091999999999999879e-06,4.078643133341367296e+18,5.801511906561244160e+18,7.210266533747530752e+18,7.383659710819494912e+18
1.098999999999999981e-06,4.097838274466982400e+18,5.830725887729418240e+18,7.247764688986730496e+18,7.422178056075192320e+18
1.105999999999999872e-06,4.116955867568450048e+18,5.859843478095200256e+18,7.285152397202670592e+18,7.460584232913412096e+18
1.112999999999999974e-06,4.135996101590597120e+18,5.888864769641859072e+18,7.322429668716902400e+18,7.498878241603815424e+18
1.119999999999999865e-06,4.154959164969137152e+18,5.917789854189192192e+18,7.359596513833416704e+18,7.537060082415619072e+18
1.126999999999999967e-06,4.173845245629522432e+18,5.946618823392613376e+18,7.396652942838567936e+18,7.575129755617569792e+18
1.134000000000000069e-06,4.192654530985851904e+18,5.975351768742277120e+18,7.433598966000952320e+18,7.613087261477955584e+18
1.140999999999999960e-06,4.211387207939742720e+18,6.003988781562124288e+18,7.470434593571313664e+18,7.650932600264580096e+18
1.148000000000000062e-06,4.230043462879266304e+18,6.032529953009042432e+18,7.507159835782444032e+18,7.688665772244802560e+18
1.154999999999999953e-06,4.248623481677873152e+18,6.060975374071934976e+18,7.543774702849083392e+18,7.726286777685500928e+18
1.162000000000000055e-06,4.267127449693331968e+18,6.089325135570812928e+18,7.580279204967817216e+18,7.763795616853070848e+18
1.168999999999999946e-06,4.285555551766704128e+18,6.117579328155954176e+18,7.616673352316963840e+18,7.801192290013444096e+18
1.176000000000000048e-06,4.303907972221308928e+18,6.145738042306957312e+18,7.652957155056503808e+18,7.838476797432059904e+18
1.182999999999999939e-06,4.322184894861719552e+18,6.173801368331884544e+18,7.689130623327943680e+18,7.875649139373889536e+18
1.190000000000000041e-06,4.340386502972772864e+18,6.201769396366371840e+18,7.725193767254254592e+18,7.912709316103407616e+18
1.196999999999999932e-06,4.358512979318582272e+18,6.229642216372740096e+18,7.761146596939717632e+18,7.949657327884603392e+18
1.204000000000000034e-06,4.376564506141581312e+18,6.257419918139112448e+18,7.796989122469898240e+18,7.986493174980982784e+18
1.210999999999999925e-06,4.394541265161568256e+18,6.285102591278551040e+18,7.832721353911473152e+18,8.023216857655557120e+18
1.218000000000000027e-06,4.412443437574772736e+18,6.312690325228151808e+18,7.868343301312182272e+18,8.059828376170831872e+18
1.224999999999999918e-06,4.430271204052937216e+18,6.340183209248204800e+18,7.903854974700702720e+18,8.096327730788828160e+18
1.232000000000000020e-06,4.448024744742398976e+18,6.367581332421295104e+18,7.939256384086568960e+18,8.132714921771060224e+18
1.238999999999999911e-06,4.465704239263212032e+18,6.394884783651441664e+18,7.974547539460047872e+18,8.168989949378538496e+18
1.246000000000000013e-06,4.483309866708258816e+18,6.422093651663233024e+18,8.009728450792067072e+18,8.205152813871775744e+18
1.252999999999999904e-06,4.500841805642370560e+18,6.449208025000968192e+18,8.044799128034102272e+18,8.241203515510767616e+18
1.260000000000000007e-06,4.518300234101513216e+18,6.476227992027772928e+18,8.079759581118084096e+18,8.277142054554996736e+18
1.266999999999999897e-06,4.535685329591895552e+18,6.503153640924764160e+18,8.114609819956288512e+18,8.312968431263448064e+18
1.274000000000000000e-06,4.552997269089195520e+18,6.529985059690172416e+18,8.149349854441263104e+18,8.348682645894574080e+18
1.280999999999999890e-06,4.570236229037702656e+18,6.556722336138499072e+18,8.183979694445704192e+18,8.384284698706312192e+18
1.287999999999999993e-06,4.587402385349551104e+18,6.583365557899663360e+18,8.218499349822373888e+18,8.419774589956094976e+18
