x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
4.206999999999999701e-06,6.832586762780156928e+18,1.025494266065938227e+19,1.309610394088015462e+19,1.344608506971892941e+19
4.213999999999999803e-06,6.827918725359294464e+18,1.024686439696147456e+19,1.308508668957772186e+19,1.343470502098906317e+19
4.220999999999999905e-06,6.823202795978308608e+18,1.023870543379785728e+19,1.307396076683719270e+19,1.342321285023201485e+19
4.228000000000000008e-06,6.818438918598038528e+18,1.023046573869818061e+19,1.306272616894690304e+19,1.341160855735081165e+19
4.235000000000000110e-06,6.813627036627229696e+18,1.022214527888488038e+19,1.305138289216027443e+19,1.339989214224757146e+19
4.242000000000000212e-06,6.808767092922425344e+18,1.021374402127349350e+19,1.303993093269580800e+19,1.338806360482348646e+19
4.249000000000000315e-06,6.803859029787794432e+18,1.020526193247288320e+19,1.302837028673716634e+19,1.337612294497885389e+19
4.256000000000000417e-06,6.798902788975017984e+18,1.019669897878557082e+19,1.301670095043318374e+19,1.336407016261305958e+19
4.263000000000000520e-06,6.793898311683118080e+18,1.018805512620798976e+19,1.300492291989790720e+19,1.335190525762455962e+19
4.270000000000000622e-06,6.788845538558343168e+18,1.017933034043080090e+19,1.299303619121064755e+19,1.333962822991093350e+19
4.276999999999999877e-06,6.783744409694002176e+18,1.017052458683918131e+19,1.298104076041601638e+19,1.332723907936883098e+19
4.283999999999999980e-06,6.778594864630330368e+18,1.016163783051308646e+19,1.296893662352393011e+19,1.331473780589400883e+19
4.291000000000000082e-06,6.773396842354338816e+18,1.015267003622761062e+19,1.295672377650971443e+19,1.330212440938130842e+19
4.297999999999999338e-06,6.768150281299695616e+18,1.014362116845323878e+19,1.294440221531407974e+19,1.328939888972468224e+19
4.304999999999999440e-06,6.762855119346529280e+18,1.013449119135615590e+19,1.293197193584319898e+19,1.327656124681715507e+19
4.311999999999999542e-06,6.757511293821338624e+18,1.012528006879857869e+19,1.291943293396874445e+19,1.326361148055088947e+19
4.318999999999999645e-06,6.752118741496803328e+18,1.011598776433905254e+19,1.290678520552791654e+19,1.325054959081709978e+19
4.325999999999999747e-06,6.746677398591666176e+18,1.010661424123274240e+19,1.289402874632346829e+19,1.323737557750614016e+19
4.332999999999999849e-06,6.741187200770577408e+18,1.009715946243178291e+19,1.288116355212382208e+19,1.322408944050744934e+19
4.339999999999999952e-06,6.735648083143934976e+18,1.008762339058558362e+19,1.286818961866300211e+19,1.321069117970956902e+19
4.347000000000000054e-06,6.730059980267760640e+18,1.007800598804111565e+19,1.285510694164076749e+19,1.319718079500015411e+19
4.354000000000000157e-06,6.724422826143531008e+18,1.006830721684330701e+19,1.284191551672260403e+19,1.318355828626593997e+19
4.361000000000000259e-06,6.718736554218044416e+18,1.005852703873529446e+19,1.282861533953980416e+19,1.316982365339280794e+19
4.368000000000000361e-06,6.713001097383262208e+18,1.004866541515879424e+19,1.281520640568943821e+19,1.315597689626570138e+19
4.374999999999999617e-06,6.707216387976172544e+18,1.003872230725442355e+19,1.280168871073451827e+19,1.314201801476871987e+19
4.381999999999999719e-06,6.701382357778625536e+18,1.002869767586203034e+19,1.278806225020391834e+19,1.312794700878502502e+19
4.388999999999999822e-06,6.695498938017216512e+18,1.001859148152103936e+19,1.277432701959248691e+19,1.311376387819691827e+19
4.395999999999999924e-06,6.689566059363081216e+18,1.000840368447078195e+19,1.276048301436109005e+19,1.309946862288580813e+19
4.403000000000000026e-06,6.683583651931814912e+18,9.998134244650840064e+18,1.274653022993661952e+19,1.308506124273221222e+19
4.410000000000000129e-06,6.677551645283275776e+18,9.987783121701400576e+18,1.273246866171208704e+19,1.307054173761576550e+19
4.417000000000000231e-06,6.671469968421449728e+18,9.977350274963578880e+18,1.271829830504662426e+19,1.305591010741520998e+19
4.424000000000000333e-06,6.665338549794310144e+18,9.966835663479816192e+18,1.270401915526555238e+19,1.304116635200842342e+19
4.431000000000000436e-06,6.659157317293665280e+18,9.956239245994168320e+18,1.268963120766042726e+19,1.302631047127237427e+19
